store_name,comment,stars
Las Gracias Rotesería Caballito,"no es individual, es de copetín ",2
Green Eat Florida,"el salmón no estaba fresco está vez ",3
Green Eat Billinghurst,,5
Las Gracias Rotisería Martinez,"la de verdura estaba rica, pero la de jamon y queso no tanto, estaban frias.",3
Las Gracias Rotisería Belgrano,"Me enviaron el pastel de papas chico cuando pedí el mediano, la tortilla de papas estaban crudas las papas ",3
Las Gracias Rotisería Palermo,La comida es exquisita. Faltó la guarnición de las milanesas. Gracias,3
Las Gracias Rotisería Recoleta,tengo que ser sincera. no me gusto para nada el sabor. espero mejoren.,3
Green Eat Pueyrredon,bien,4
Green Eat Rivadavia,Las entradas no estaban bien. El guacamole sin sabor con los Chips mojados,4
Green Eat Billinghurst,"Bien ",4
Green Eat Billinghurst,"muy rico!!! ",4
Las Gracias Rotesería Caballito,"Rico, más allá que las milas sean procesadas. Por el precio es muy bueno",4
Green Eat Pueyrredon,,5
Green Eat Abasto,,5
Tea Connection Lacroze,,5
Green Eat Asunción,,5
Green Eat Asunción,"cumple con todo, me encanta",5
Green Eat Cabildo,,5
Green Eat Florida,"Mi pedido.llego.perfecto, era fresco y tenía un excelente sabor!!

",5
Green Eat Dot,"mi pedido llegó muy bien, súper amable el q lo trajo. Sabor rico y fresco. ",5
Green Eat Dot,,5
Tea Connection Conde,,5
Green Eat Avalos,,5
Tea Connection DOT,,5
Tea Connection Libertador,,5
Tea Connection Scalabrini,,5
Las Gracias Rotisería Devoto,,5
Las Gracias Rotisería Devoto,"Riquísima la lasagna, buena porción y desde la salsa a la carne de abajo y la verdura, excelente. El pancito con el que viene fue el broche de oro. Divino 10/10. ",5
Las Gracias Rotisería Martinez,,5
Las Gracias Rotisería Martinez,"Me sorprendi de lo bueno que estaba dos tremendas milanesas con ensalada traía un pan casero enorme y una sal cita existía ",5
Las Gracias Rotisería Martinez,"Muy ricos los canelones. Bastante justa la porción ",5
Las Gracias Rotisería Belgrano,"Excelente presentación y calidad! ",5
Las Gracias Rotisería Belgrano,"Realmente muy recomendado. Ya perdí la cuenta de las veces que pedí ",5
Las Gracias Rotisería Palermo,,5
Las Gracias Rotisería Recoleta,,5
Las Gracias Rotesería Caballito,"Tal vez un poquito más grande la porción sería extraordinario. ",5
Las Gracias Rotesería Caballito,,5
Las Gracias Rotisería Villa Urquiza,,5
Tea Connection Conde,Todo excelente!!!,5
Las Gracias Rotisería Recoleta,"Las papas rústicas están secas y quemadas ",3
Green Eat Rivadavia,,5
Green Eat Cabildo,"El arroz más duro que infancia en el conurbano. Todavía me estoy sacando una carretilla y media de arroz de las muelas. ",2
Tea Connection Avalos,,5
Tea Connection Scalabrini,Llego literalmente helado y no fue por culpa del repartidor (tardo muy poco entre que lo busco y llego a mi domicilio). Además de que la porción es mínimo y decía “200 gramos de papas” y literalmente había dos gajos.,1
Green Eat Billinghurst,"mi pedido llego en tiempo y bien ",5
Las Gracias Rotisería Devoto,muy rico todo,4
Las Gracias Rotisería Belgrano,"en vez de ensalada cesar , llego un puré mixto . además el pedido llego frío .",3
Las Gracias Rotesería Caballito,"La salsa de tomate estaba ácida. Una lástima. Habla pedido hace unos días y todo estaba bien, por eso volví a pedir. ",2
Green Eat Florida,,5
Las Gracias Rotisería Recoleta,llego otro pedido y demoro el triple de tiempo por qué lo pospusieron dos veces.,1
