store_name,comment,stars
Tea Connection Conde,,5
Las Gracias Rotisería Palermo,La comida es exquisita. Faltó la guarnición de las milanesas. Gracias,3
Las Gracias Rotisería Belgrano,"Me enviaron el pastel de papas chico cuando pedí el mediano, la tortilla de papas estaban crudas las papas ",3
Green Eat Cabildo,,5
Las Gracias Rotesería Caballito,"no es individual, es de copetín ",2
Tea Connection Lacroze,,5
Las Gracias Rotisería Devoto,,5
Las Gracias Rotesería Caballito,"Tal vez un poquito más grande la porción sería extraordinario. ",5
Green Eat Billinghurst,,5
Green Eat Asunción,"cumple con todo, me encanta",5
Tea Connection Libertador,,5
Las Gracias Rotisería Devoto,muy rico todo,4
Green Eat Dot,"mi pedido llegó muy bien, súper amable el q lo trajo. Sabor rico y fresco. ",5
Las Gracias Rotesería Caballito,"Rico, más allá que las milas sean procesadas. Por el precio es muy bueno",4
Tea Connection Scalabrini,,5
Green Eat Rivadavia,Las entradas no estaban bien. El guacamole sin sabor con los Chips mojados,4
Green Eat Florida,"el salmón no estaba fresco está vez ",3
Las Gracias Rotesería Caballito,"La salsa de tomate estaba ácida. Una lástima. Habla pedido hace unos días y todo estaba bien, por eso volví a pedir. ",2
Las Gracias Rotisería Devoto,"Riquísima la lasagna, buena porción y desde la salsa a la carne de abajo y la verdura, excelente. El pancito con el que viene fue el broche de oro. Divino 10/10. ",5
Las Gracias Rotisería Palermo,,5
Las Gracias Rotisería Martinez,"la de verdura estaba rica, pero la de jamon y queso no tanto, estaban frias.",3
Green Eat Rivadavia,,5
Las Gracias Rotisería Martinez,"Muy ricos los canelones. Bastante justa la porción ",5
Green Eat Florida,"Mi pedido.llego.perfecto, era fresco y tenía un excelente sabor!!

",5
Green Eat Avalos,,5
Green Eat Abasto,,5
Tea Connection Avalos,,5
Tea Connection Conde,Todo excelente!!!,5
Green Eat Asunción,,5
Las Gracias Rotisería Villa Urquiza,,5
Tea Connection DOT,,5
Las Gracias Rotisería Recoleta,tengo que ser sincera. no me gusto para nada el sabor. espero mejoren.,3
Green Eat Dot,,5
Green Eat Florida,,5
Las Gracias Rotisería Belgrano,"Realmente muy recomendado. Ya perdí la cuenta de las veces que pedí ",5
Las Gracias Rotisería Belgrano,"en vez de ensalada cesar , llego un puré mixto . además el pedido llego frío .",3
Tea Connection Scalabrini,Llego literalmente helado y no fue por culpa del repartidor (tardo muy poco entre que lo busco y llego a mi domicilio). Además de que la porción es mínimo y decía “200 gramos de papas” y literalmente había dos gajos.,1
Las Gracias Rotisería Recoleta,llego otro pedido y demoro el triple de tiempo por qué lo pospusieron dos veces.,1
Green Eat Cabildo,"El arroz más duro que infancia en el conurbano. Todavía me estoy sacando una carretilla y media de arroz de las muelas. ",2
Las Gracias Rotisería Martinez,"Me sorprendi de lo bueno que estaba dos tremendas milanesas con ensalada traía un pan casero enorme y una sal cita existía ",5
Las Gracias Rotisería Belgrano,"Excelente presentación y calidad! ",5
Las Gracias Rotisería Recoleta,,5
Green Eat Billinghurst,"muy rico!!! ",4
Green Eat Pueyrredon,,5
Green Eat Pueyrredon,bien,4
Las Gracias Rotisería Martinez,,5
Las Gracias Rotesería Caballito,,5
Las Gracias Rotisería Recoleta,"Las papas rústicas están secas y quemadas ",3
Green Eat Billinghurst,"mi pedido llego en tiempo y bien ",5
Green Eat Billinghurst,"Bien ",4
Tea Connection Asunción,"El pedido llegó frío y desarmado, parecía otro pedido, el sabor lo único bueno",1
Las Gracias Rotisería Martinez,"Crudo, porciones ínfimas. Realmente un desastre",1
Las Gracias Rotisería Villa Urquiza,"ok. Gracias ",5
Green Eat Rivadavia,le falta cocción al poco pollo,3
Las Gracias Rotisería Belgrano,,5
Las Gracias Rotesería Caballito,"Super horario ",4
Las Gracias Rotisería Belgrano,Se olvidaron el pan,1
Las Gracias Rotesería Caballito,"excelente ",5
Tea Connection Avalos,"la calidad es buena. la presentación me vino todo abierto el wrap. a mí parecer le falta un toque de relleno. ",3
Green Eat Sinclair,,5
Tea Connection Formosa,,5
Green Eat Libertador,,5
Tea Connection Lacroze,"Soy vegetariano, pedí de falafel y me mandaron de pollo! Un asco todo ",1
Green Eat Asunción,"no vino con nada de relleno, puro pan",1
Las Gracias Rotisería Palermo,"Faltó el flan ",1
Las Gracias Rotisería Belgrano,frio,3
Green Eat Asunción,perfecto!!! volveré  a pedir!,5
Green Eat Rivadavia,"Con mucha demora ",5
Las Gracias Rotisería Palermo,pedí una pechuga a la plancha con puré mixto y enviaron un burrito de pollo con ensalada,1
Tea Connection Montevideo,,5
Green Eat Dot,Llego frio,5
Tea Connection Abasto,,5
Green Eat Abasto,"llego un poco desparramado ",4
Tea Connection DOT,"Me encanto ! ",5
Green Eat Rivadavia,buena relación precio calidd,5
Green Eat Avalos,"Completamente desarmado y toda la masa cortada, rota",1
Green Eat Sinclair,"Muy buen sabor pero porción demasiado pequeña ",4
Green Eat Billinghurst,repartidor excelente,5
Las Gracias Rotisería Devoto,soy cliente activo muy rico sabroso muy caserito,5
Las Gracias Rotisería Belgrano,Lastimo q no puedo subir la foto pero realmente perfectas hay carne en la Mila no 3 manos de pan rallado. Son exquisitas,5
Las Gracias Rotesería Caballito,"la comida es rica, pero las milanesas son muy chicas, mide lo que mide una palma de mano, sin contar los dedos.

El pan es rico, pero pedimos 2 platos con 2 milanesas, y enviaron 1 solo pan.",2
Green Eat Florida,"no enviaron cucharita para el yogurt. el resto todo ok. ",4
Las Gracias Rotisería Palermo,"Súper rico! ",5
Tea Connection Asunción,,5
